"Light Intensity, Ch A vs Actual Angular Position, conc3 #4",
Actual Angular Position ( rad ),"Light Intensity, Ch A ( % max )"
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.4
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.4
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.5
-7.27E-05,13.4
-7.27E-05,13.5
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.5
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.5
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.4
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
-7.27E-05,13.5
0,13.5
0,13.5
0,13.4
0,13.4
0,13.4
0,13.4
0,13.4
0,13.4
0,13.5
0,13.5
0,13.5
0,13.5
0,13.5
0,13.5
7.27E-05,13.5
7.27E-05,13.5
7.27E-05,13.5
7.27E-05,13.5
7.27E-05,13.5
7.27E-05,13.5
7.27E-05,13.6
7.27E-05,13.6
1.45E-04,13.6
1.45E-04,13.6
1.45E-04,13.6
1.45E-04,13.6
1.45E-04,13.6
1.45E-04,13.6
1.45E-04,13.6
1.45E-04,13.6
2.18E-04,13.7
2.18E-04,13.7
2.18E-04,13.7
2.18E-04,13.7
2.18E-04,13.6
2.18E-04,13.7
2.18E-04,13.7
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
2.91E-04,13.6
3.64E-04,13.7
3.64E-04,13.7
3.64E-04,13.7
3.64E-04,13.6
3.64E-04,13.6
3.64E-04,13.6
3.64E-04,13.6
3.64E-04,13.6
3.64E-04,13.6
4.36E-04,13.6
4.36E-04,13.6
4.36E-04,13.6
4.36E-04,13.6
4.36E-04,13.6
5.09E-04,13.6
5.09E-04,13.6
6.55E-04,13.6
